# FormFair Held-Out Evaluation Protocol v1.0, section 1
# source_url=https://www.digital.govt.nz/standards-and-guidance/nz-government-web-standards/centralised-web-accessibility-checker-cwac/website-scores-cwac
# retrieved_utc=2026-08-11T05:18:19Z
# scan_date=2026-06-30
# page_sha256=ac6a0c4eb5c6087c0766218808c7714974fd68220d0b02ddaaf9dbb212f2a933
# agencies=45
# websites=504
agency,website,url,score,change,pages_scanned,views_with_issues,total_issues,not_scanned
"Ministry of Business, Innovation and Employment",NZ Claims Resolution Service Portal,https://portal.nzcrs.govt.nz/login.aspx,75,0,2,2,5,false
"Ministry of Business, Innovation and Employment",Product Safety NZ,https://www.productsafety.govt.nz/,76,9,300,227,2553,false
"Ministry of Business, Innovation and Employment",Geodata Catalogue,https://geodata.nzpam.govt.nz/,81,-1,300,243,1336,false
"Ministry of Business, Innovation and Employment",Better Rules ñ Better Outcomes,https://www.betterrules.govt.nz/,83,-9,6,5,16,false
"Ministry of Business, Innovation and Employment",Government Electronic Tenders Service (GETS),https://www.gets.govt.nz/ExternalIndex.htm,83,-6,300,250,9824,false
"Ministry of Business, Innovation and Employment",API cloud platform support,https://support.api.business.govt.nz/s/,95,0,22,21,163,false
"Ministry of Business, Innovation and Employment",Kānoa – Regional Economic Development & Investment Fund,https://www.growregions.govt.nz/,98,18,268,268,643,false
"Ministry of Business, Innovation and Employment",Auctioneers registration,https://auctioneers.mbie.govt.nz/,100,0,195,195,390,false
"Ministry of Business, Innovation and Employment",Building Performance,https://learning.building.govt.nz/,100,0,300,299,3633,false
"Ministry of Business, Innovation and Employment",Building Performance,https://www.building.govt.nz/,100,0,300,300,3692,false
"Ministry of Business, Innovation and Employment",Building Performance Notification of Modification or Waiver,https://waivermodsform.building.govt.nz/,100,100,1,1,4,false
"Ministry of Business, Innovation and Employment",Business Registers,https://app.businessregisters.govt.nz/,100,50,14,14,116,false
"Ministry of Business, Innovation and Employment",Cashflow Forecaster - Business.govt.nz,https://www.tools.business.govt.nz/cashflow-forecaster/,100,0,1,1,6,false
"Ministry of Business, Innovation and Employment",Climate Action Toolbox - Business.govt.nz,https://www.tools.business.govt.nz/climate/,100,17,3,3,39,false
"Ministry of Business, Innovation and Employment",Compliance Matters - Business.govt.nz,https://www.tools2.business.govt.nz/compliance-matters,100,0,1,1,2,false
"Ministry of Business, Innovation and Employment",Conflict Of Interest (COI) Tool,https://coi.procurement.govt.nz/,100,100,3,3,6,false
"Ministry of Business, Innovation and Employment",Employee Cost Calculator - Business.govt.nz,https://www.tools2.business.govt.nz/employeecostcalculator,100,0,1,1,5,false
"Ministry of Business, Innovation and Employment",Employment Agreement Builder,https://eab.business.govt.nz/employmentagreementbuilder/startscreen,100,0,1,1,2,false
"Ministry of Business, Innovation and Employment",Employment Mediation Services,https://dispute.employment.govt.nz/app/Extra/Employment/Default.aspx,100,0,1,1,13,false
"Ministry of Business, Innovation and Employment",Employment NZ Request Help,https://gethelp.employment.govt.nz/,100,0,1,1,8,false
"Ministry of Business, Innovation and Employment",Fuel Quality Monitoring,https://fuelquality.tradingstandards.govt.nz/,100,0,24,24,49,false
"Ministry of Business, Innovation and Employment",Grants portal,https://grantsportal.business.govt.nz/prweb/PRAuth/app/default/B6PIYiJh5GurSCmPu9_PnppG3kv3D5gbCQyAy7GtpfGx4p4uVXhGlw*/!STANDARD,100,100,2,2,22,false
"Ministry of Business, Innovation and Employment",Hīkina-Learning for Government Procurement and Property,https://learning.procurement.govt.nz/,100,0,46,46,385,false
"Ministry of Business, Innovation and Employment",Immigration NZ Operational Manual,https://www.immigration.govt.nz/opsmanual/,100,0,1,1,65,false
"Ministry of Business, Innovation and Employment",Incorporated Societies Register,https://is-register.companiesoffice.govt.nz/,100,77,32,32,158,false
"Ministry of Business, Innovation and Employment",Independently Qualified Pool Inspectors,https://poolinspectors.mbie.govt.nz/,100,0,24,24,48,false
"Ministry of Business, Innovation and Employment",Insolvency Register,https://app.insolvency.govt.nz/ui/public/search/insolvency-register,100,0,1,1,9,false
"Ministry of Business, Innovation and Employment",Making a ERA Application online,https://dispute.era.govt.nz/app/Extra/ERA/Default.aspx,100,0,1,1,4,false
"Ministry of Business, Innovation and Employment",Making a Tenancy Tribunal Application online,https://dispute.tenancy.govt.nz/app/Extra/TenancyTribunal/Default.aspx,100,0,1,1,6,false
"Ministry of Business, Innovation and Employment",MBIE APIs,https://portal.api.business.govt.nz/,100,0,6,6,45,false
"Ministry of Business, Innovation and Employment",Migrant Search,https://skillfinder.immigration.govt.nz/,100,0,1,1,12,false
"Ministry of Business, Innovation and Employment",Migration Data Explorer,https://mbienz.shinyapps.io/migration_data_explorer/,100,0,2,2,4,false
"Ministry of Business, Innovation and Employment",Minerals and Petroleum Maps,https://gis.nzpam.govt.nz/permitwebmaps/,100,0,1,1,4,false
"Ministry of Business, Innovation and Employment",NZ Labour Market Dashboard,https://mbienz.shinyapps.io/labour-market-dashboard_prod/,100,0,2,2,4,false
"Ministry of Business, Innovation and Employment",NZ Mine Plans,https://mineplans.nzpam.govt.nz/,100,0,1,1,6,false
"Ministry of Business, Innovation and Employment",NZ Relay Services,https://www.nzrelay.co.nz/,100,0,27,27,471,false
"Ministry of Business, Innovation and Employment",NZ Sectors Dashboard,https://sectorsdashboard.mbie.govt.nz/,100,0,1,1,6,false
"Ministry of Business, Innovation and Employment",NZ Trading Standards Approvals Certificates,https://tradingstandardsnz.filebound.co.nz/public/search,100,100,1,1,9,false
"Ministry of Business, Innovation and Employment",NZeTA application,https://nzeta.immigration.govt.nz/,100,0,1,1,12,false
"Ministry of Business, Innovation and Employment",NZP&M ArcGIS Enterprise Portal,https://gis.nzpam.govt.nz/portal/sharing/oauth2/authorize?client_id=arcgisonline&response_type=code&state=%7B%22portalUrl%22%3A%22https%3A%2F%2Fgis.nzpam.govt.nz%2Fportal%22%2C%22uid%22%3A%22gjtYIp8Yxzk_AZ22vOJN7XnvauoV_8OP5cXBL7vLc6Q%22%2C%22returnUrl%22%3A%22https%3A%2F%2Fgis.nzpam.govt.nz%2Fportal%2Fhome%2Findex.html%22%2C%22useLandingPage%22%3Afalse%2C%22clientId%22%3A%22arcgisonline%22%7D&expiration=20160&locale=en-AU&redirect_uri=https%3A%2F%2Fgis.nzpam.govt.nz%2Fportal%2Fhome%2Faccountswitcher-callback.html&code_challenge=lgEAjtvprjG8Y10aIUoXYHG0BloYZLIxE5qIFkwRsuA&code_challenge_method=S256&display=default&force_login=false&hideCancel=true&showSignupOption=true&canHandleCrossOrgSignIn=true&signuptype=esri,100,100,1,1,2,false
"Ministry of Business, Innovation and Employment",Public Information Resource Portal,https://www.mbieinformationresources.com/,100,17,3,3,75,false
"Ministry of Business, Innovation and Employment",Regional economic activity report,https://webrear.mbie.govt.nz/summary/new-zealand,100,0,1,1,13,false
"Ministry of Business, Innovation and Employment",Regional Factsheets,https://mbienz.shinyapps.io/RegionalFactsheets/,100,0,1,1,24,false
"Ministry of Business, Innovation and Employment",Register of earthquake-prone buildings,https://epbr.building.govt.nz/,100,0,1,1,7,false
"Ministry of Business, Innovation and Employment",Register of Radio Frequencies,https://rrf.rsm.govt.nz/ui?state=1,100,0,1,1,5,false
"Ministry of Business, Innovation and Employment",Residential Tenancy Agreement Builder,https://rtab.tenancy.govt.nz/tenancybuilder/startscreen,100,0,1,1,2,false
"Ministry of Business, Innovation and Employment",Temporary Accommodation Service Portal,https://portal.temporaryaccommodation.mbie.govt.nz/Temporaryaccommodation/,100,0,1,1,2,false
"Ministry of Business, Innovation and Employment",The Kiwi Business Boost - Business.govt.nz,https://www.tools.business.govt.nz/boost/,100,0,2,2,6,false
"Ministry of Business, Innovation and Employment",Trade Mark Check,https://app.iponz.govt.nz/app/TradeMarkCheck,100,100,300,300,3600,false
"Ministry of Business, Innovation and Employment",Trading Standards Learning,https://learning.tradingstandards.govt.nz/login/,100,100,2,2,28,false
"Ministry of Business, Innovation and Employment",Unit Title Act Disputes Application,https://utadispute.tenancy.govt.nz/app/Extra/UTA/Default.aspx?sid=639098629766028635,100,0,1,1,5,false
"Ministry of Business, Innovation and Employment",Workplace Policy Builder,https://wpb.business.govt.nz/workplacepolicybuilder/startscreen,100,0,1,1,2,false
"Ministry of Business, Innovation and Employment",Apply - Immigration,https://apply.immigration.govt.nz/,Not scanned,N/A,0,N/A,N/A,true
"Ministry of Business, Innovation and Employment",Immigration Advisers Authority Register,https://app.mbieregisters.govt.nz/iaa/ui/start/searchForAnOccupationalRegistration,Not scanned,N/A,0,N/A,N/A,true
"Ministry of Business, Innovation and Employment",Insolvency Practitioners Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/insolvency-practitioners/,Not scanned,N/A,0,N/A,N/A,true
"Ministry of Business, Innovation and Employment",Motor Vehicle Traders Register (Search),https://app.mbieregisters.govt.nz/mvtr/ui/start/searchTheRegister,Not scanned,N/A,0,N/A,N/A,true
"Ministry of Business, Innovation and Employment",Online Services - Immigration NZ,https://onlineservices.immigration.govt.nz/,Not scanned,N/A,0,N/A,N/A,true
"Ministry of Business, Innovation and Employment",Procure Connect,https://connect.procurement.govt.nz/,Not scanned,N/A,0,N/A,N/A,true
"Ministry of Business, Innovation and Employment",Registered Unions - Companies Office,https://www.companiesoffice.govt.nz/all-registers/registered-unions/,Not scanned,N/A,0,N/A,N/A,true
Ministry of Defence,Ministry of Defence,https://www.defence.govt.nz/,0,0,159,0,0,false
Ministry of Defence,Jobs at Ministry of Defence,https://jobs.defence.govt.nz/home,17,-50,6,1,12,false
Ministry of Education,Kōwhiti Whakapae,https://kowhiti-whakapae.education.govt.nz/,0,-50,69,0,0,false
Ministry of Education,Zero Data,https://zero.education.govt.nz/,0,-100,5,0,0,false
Ministry of Education,Professional Learning & Development,https://pld.education.govt.nz/,1,-99,81,1,2,false
Ministry of Education,Curriculum Progress Tools,https://curriculumprogresstools.education.govt.nz/,3,-97,36,1,12,false
Ministry of Education,Ministry of Education,https://www.education.govt.nz/,4,-18,300,17,64,false
Ministry of Education,Te Rito,https://terito.govt.nz/,5,-95,19,1,2,false
Ministry of Education,Evaluation Hub,https://evaluationhub.education.govt.nz/,6,0,18,1,2,false
Ministry of Education,Incredible Years Autism,https://iya.education.govt.nz/login,17,-83,6,1,2,false
Ministry of Education,Te Kete Ipurangi,https://www.tki.org.nz/,17,-20,300,52,330,false
Ministry of Education,NCEA,https://ncea.education.govt.nz/,18,5,40,9,52,false
Ministry of Education,Education Workforce,https://workforce.education.govt.nz,35,30,63,44,219,false
Ministry of Education,Ministry of Eductation Design System,https://designsystem.education.govt.nz/,49,2,34,19,57,false
Ministry of Education,Careers in Education,https://careers.education.govt.nz/,50,21,7,7,27,false
Ministry of Education,School Leavers' Toolkit,https://school-leavers-toolkit.education.govt.nz/,58,3,73,47,100,false
Ministry of Education,New Zealand Curriculum,https://newzealandcurriculum.tahurangi.education.govt.nz/,77,-3,300,236,2251,false
Ministry of Education,Tuia Mātauranga,https://tuiaeducation.org.nz/,83,0,15,15,364,false
Ministry of Education,Youth Guarantee,https://youthguarantee.education.govt.nz,89,1,109,97,2669,false
Ministry of Education,Education Gazette,https://gazette.education.govt.nz/,92,-8,13,13,516,false
Ministry of Education,Aotearoa NZ's Histories,https://aotearoahistories.education.govt.nz/,98,0,26,26,94,false
Ministry of Education,He Pikorua,https://hepikorua.education.govt.nz/,98,-1,42,41,707,false
Ministry of Education,Learning from home,https://learningfromhome.govt.nz/,98,0,31,31,128,false
Ministry of Education,Bullying Free NZ,https://bullyingfree.nz/,99,1,82,81,3315,false
Ministry of Education,Catalogue of tools & online services,https://applications.education.govt.nz/,99,30,39,39,455,false
Ministry of Education,Education Counts,https://www.educationcounts.govt.nz/home,99,-1,300,300,9152,false
Ministry of Education,Careers at Ministry of Education,https://ministrycareers.education.govt.nz,100,0,1,1,4,false
Ministry of Education,Inclusive Education,https://inclusive.tki.org.nz/,100,0,300,300,13438,false
Ministry of Education,"Ka Ora, Ka Ako",https://kaorakaako.education.govt.nz/,100,76,74,74,187,false
Ministry of Education,Kauwhata Reo,https://kauwhatareo.govt.nz/,100,0,197,197,2200,false
Ministry of Education,Paekupu,https://paekupu.co.nz/,100,0,300,300,2091,false
Ministry of Education,Pathways and Transitions,https://newzealandcurriculum.tahurangi.education.govt.nz/new-zealand-curriculum-online/teaching-support/pathways-and-transitions/5637164076.c,100,0,300,300,2698,false
Ministry of Education,Pokapuu,https://pokapuu.education.govt.nz/Security/login/,100,0,1,1,10,false
Ministry of Education,PowerUP Plus,https://powerupplus.education.govt.nz/,100,0,1,1,14,false
Ministry of Foreign Affairs and Trade,Trade Barriers NZ,https://www.tradebarriers.govt.nz/,0,0,7,0,0,false
Ministry of Foreign Affairs and Trade,DevData,https://devdata.mfat.govt.nz/,3,-15,300,20,21,false
Ministry of Foreign Affairs and Trade,SafeTravel,https://www.safetravel.govt.nz/,5,-7,300,14,44,false
Ministry of Foreign Affairs and Trade,Ministry of Foreign Affairs and Trade,https://www.mfat.govt.nz/,10,5,300,35,99,false
Ministry of Foreign Affairs and Trade,FTA Services Online Tool,https://services-exporter-tool.govt.nz/,75,75,4,3,6,false
Ministry of Foreign Affairs and Trade,Careers at MFAT,https://vacancies.mfat.govt.nz/,100,0,1,1,15,false
Ministry of Foreign Affairs and Trade,New Zealand Treaties Online,https://treaties.mfat.govt.nz/,100,0,6,6,120,false
Ministry of Foreign Affairs and Trade,Tariff Finder,https://www.tariff-finder.govt.nz/,100,0,3,3,279,false
Ministry of Health,Advisory Committee on Assisted Reproductive Technology,https://acart.health.govt.nz/,0,0,64,0,0,false
Ministry of Health,Ethics Committee on Assisted Reproductive Technology,https://ecart.health.govt.nz/,0,0,23,0,0,false
Ministry of Health,Gambling Data Explorer,https://minhealthnz.shinyapps.io/national-gambling-study-data-explorer/,0,0,1,0,0,false
Ministry of Health,Health and Disability Ethics Committees,https://ethics.health.govt.nz/,0,0,75,0,0,false
Ministry of Health,Mental Health and Problematic Substance Use Data Explorer,https://minhealthnz.shinyapps.io/nz-health-survey-2022-23-mental-health-data-explorer/,0,0,2,0,0,false
Ministry of Health,Ministry of Health NZ,https://www.health.govt.nz/,0,8,300,0,0,false
Ministry of Health,National Ethics Advisory Committee,https://neac.health.govt.nz/,0,0,92,0,0,false
Ministry of Health,New Zealand Health Survey Annual Data Explorer,https://minhealthnz.shinyapps.io/nz-health-survey-2024-25-annual-data-explorer/,0,0,2,0,0,false
Ministry of Health,Tātai,https://tatai.maori.nz/,0,-88,4,0,0,false
Ministry of Health,Health Consultation Hub,https://consult.health.govt.nz/,1,0,300,4,4,false
Ministry of Health,Medsafe,https://www.medsafe.govt.nz/,3,1,300,10,68,false
Ministry of Health,Ministry of Health Jobs,https://health.wd105.myworkdayjobs.com/External,5,5,51,5,10,false
Ministry of Health,Whakamaua: 2020-2025,https://minhealthnz.shinyapps.io/WhakamauaDashboard/,100,0,2,2,99,false
Ministry of Justice,Chief Victims Advisor,https://chiefvictimsadvisor.justice.govt.nz/,0,0,19,0,0,false
Ministry of Justice,Courts of New Zealand Hearings,https://hearings.courtsofnz.govt.nz/,0,0,10,0,0,false
Ministry of Justice,Disputes Tribunal of New Zealand,https://www.disputestribunal.govt.nz/,0,0,25,0,0,false
Ministry of Justice,eLibs Online,https://www2.justice.govt.nz/elibsonline/,0,0,21,0,0,false
Ministry of Justice,Human Rights Monitor,https://humanrights.govt.nz/,0,0,1,0,0,false
Ministry of Justice,Institute of Judicial Studies,https://tekura.courts.govt.nz/,0,0,7,0,0,false
Ministry of Justice,Office of the Judicial Conduct Commissioner,https://jcc.govt.nz/,0,0,5,0,0,false
Ministry of Justice,Victims Information,https://victimsinfo.govt.nz/,0,-27,44,0,0,false
Ministry of Justice,Youth Court of New Zealand,https://www.youthcourt.govt.nz/home-2/,0,0,1,0,0,false
Ministry of Justice,Ministry of Justice consultation hub,https://consultations.justice.govt.nz/,1,1,117,1,2,false
Ministry of Justice,Māori Land Court,https://www.xn--morilandcourt-wqb.govt.nz/,1,0,261,2,4,false
Ministry of Justice,The District Court of New Zealand,https://www.districtcourts.govt.nz/,3,0,300,8,44,false
Ministry of Justice,Employment Court of New Zealand,https://www.employmentcourt.govt.nz/,4,1,85,4,7,false
Ministry of Justice,Pacific Justice Sector Programme,https://pjsp.govt.nz/,4,3,158,6,22,false
Ministry of Justice,Sexual Violence Victims Information,https://sexualviolence.victimsinfo.govt.nz/,4,-96,48,2,84,false
Ministry of Justice,Environment Court of New Zealand,https://www.environmentcourt.govt.nz/,5,0,77,4,18,false
Ministry of Justice,Public Defence Service,https://www.pds.govt.nz/,6,0,9,1,1,false
Ministry of Justice,Coroners Court,https://coronerscourt.govt.nz/,7,0,90,9,17,false
Ministry of Justice,Ministry of Justice,https://www.justice.govt.nz/,10,1,300,51,77,false
Ministry of Justice,Courts of New Zealand,https://www.courtsofnz.govt.nz/,23,6,300,93,227,false
Ministry of Justice,Waitangi Tribunal,https://www.waitangitribunal.govt.nz/,31,14,300,92,980,false
Ministry of Justice,Ministry of Justice Careers Centre,https://apply.justice.govt.nz/,100,0,51,51,1313,false
Ministry of Social Development,Application form to top up resolved claim - Abuse in Care Inquiry,https://form.abuseincaretopups.govt.nz/online_forms/top_up_resolved_claim_form/new,0,0,1,0,0,false
Ministry of Social Development,Digital Suite,https://digitalsuite.co.nz/,0,0,4,0,0,false
Ministry of Social Development,Money Management payment card suppliers,https://www.moneymanagementsuppliers.workandincome.govt.nz/,0,0,1,0,0,false
Ministry of Social Development,MSD Annual Report 2020/21,https://annualreport2021.msd.govt.nz/,0,0,78,0,0,false
Ministry of Social Development,StudyLink for Providers,https://providers.studylink.govt.nz/,0,0,84,0,0,false
Ministry of Social Development,Te Hao Rangahau,https://www.tehaorangahau.msd.govt.nz/,0,0,300,1,2,false
Ministry of Social Development,Work and Income Supplier Registration Form,https://services.workandincome.govt.nz/ua/supplier_registration,0,0,2,0,0,false
Ministry of Social Development,Youth Service,https://www.youthservice.govt.nz/,0,0,38,0,0,false
Ministry of Social Development,Family Services Directory,https://www.familyservices.govt.nz/directory/,1,0,300,3,8,false
Ministry of Social Development,Pasefika Proud,https://www.pasefikaproud.co.nz/,1,1,162,1,2,false
Ministry of Social Development,StudyLink,https://www.studylink.govt.nz/,1,1,283,2,6,false
Ministry of Social Development,Work and Income,https://www.workandincome.govt.nz/,1,-2,300,4,10,false
Ministry of Social Development,Youth Service providers,https://providers.youthservice.govt.nz/,1,-3,151,1,2,false
Ministry of Social Development,Office for Seniors,https://www.officeforseniors.govt.nz/,2,-1,141,5,13,false
Ministry of Social Development,Disability Support Services,https://www.disabilitysupport.govt.nz/,3,-3,286,8,16,false
Ministry of Social Development,Change is Possible,https://www.changeispossible.org.nz/,4,4,27,1,44,false
Ministry of Social Development,Heartland Services,https://www.heartlandservices.govt.nz/,4,0,47,2,4,false
Ministry of Social Development,Ministry of Youth Development,https://www.myd.govt.nz/,6,6,234,22,37,false
Ministry of Social Development,What's new - Work and Income,https://www.workandincome.govt.nz/map/index.html,6,0,300,19,36,false
Ministry of Social Development,MSD API Developer Portal,https://api.msd.govt.nz/,8,-4,13,1,2,false
Ministry of Social Development,Love Better,https://www.lovebetter.org.nz/,9,-1,169,15,30,false
Ministry of Social Development,Te Kāhui Kāhu,https://www.xn--tekhuikhu-7bbe.govt.nz/,10,2,26,3,9,false
Ministry of Social Development,MyMSD,https://my.msd.govt.nz/,13,0,8,1,16,false
Ministry of Social Development,Check what you might get,https://check.msd.govt.nz/,14,0,7,1,2,false
Ministry of Social Development,Are You OK,https://www.areyouok.org.nz/,17,-43,300,52,260,false
Ministry of Social Development,Te heke mai,https://tehekemai.co.nz/,17,17,3,1,2,false
Ministry of Social Development,Top-up payments for Abuse in Care,https://www.abuseincaretopups.govt.nz/,17,0,6,1,2,false
Ministry of Social Development,Service Finder,https://sft.org.nz/,29,0,7,2,16,false
Ministry of Social Development,Digital Passport,https://www.digitalpassport.co.nz/,35,0,13,9,9,false
Ministry of Social Development,Connect with StudyLink,https://www.connect.co.nz/,38,18,4,2,7,false
Ministry of Social Development,Ministry of Social Development,https://www.msd.govt.nz/,40,0,300,122,247,false
Ministry of Social Development,E Tū Whānau,https://etuwhanau.org.nz/,53,-14,300,299,1894,false
Ministry of Social Development,Business Online Services,https://businessonlineservices.msd.govt.nz/bos/MSDProviderLogon.jsp,100,0,1,1,2,false
Ministry of Social Development,Employment Assistance Evidence Catalogue,https://ea.analytics.msd.govt.nz/,100,100,1,1,2,false
Ministry of Social Development,FinCap,https://fincap.org.nz/,100,100,249,249,3837,false
Ministry of Social Development,MSD Jobs,https://jobs.msd.govt.nz/,100,0,300,300,1248,false
Ministry of Social Development,MyStudyLink - mobile,https://my.studylink.govt.nz/mystudylink/logon_mobile.html,100,0,1,1,2,false
Ministry of Social Development,MyStudyLink Help,https://my.studylink.govt.nz/my/studylink/help/general-info.html,100,0,13,13,52,false
Ministry of Social Development,Safe to talk,https://www.safetotalk.nz/,100,0,22,22,515,false
Ministry of Social Development,StudyLink Online Services,https://my.studylink.govt.nz/mystudylink/logon.html,100,0,1,1,6,false
Ministry of Social Development,SuperGold,https://www.supergold.govt.nz/,100,0,300,299,2058,false
National Emergency Management Agency,Easy Read - Get Ready,https://er.getready.govt.nz/,0,0,35,0,0,false
National Emergency Management Agency,Español - Get Ready,https://es.getready.govt.nz/,0,0,60,0,0,false
National Emergency Management Agency,Gagana Samoa - Get Ready,https://sm.getready.govt.nz/,0,0,129,0,0,false
National Emergency Management Agency,Get Ready,https://getready.govt.nz/,0,-1,133,0,0,false
National Emergency Management Agency,NZSL - Get Ready,https://nzsl.getready.govt.nz/,0,0,45,0,0,false
National Emergency Management Agency,Peesi Tefitó - Get Ready,https://to.getready.govt.nz/,0,1,123,0,0,false
National Emergency Management Agency,Tagalog - Get Ready,https://tl.getready.govt.nz/,0,0,72,0,0,false
National Emergency Management Agency,Te reo Māori - Get Ready,https://mi.getready.govt.nz/,0,0,65,0,0,false
National Emergency Management Agency,Te Reo Māori Kūki ‘Āirani - Get Ready,https://ci.getready.govt.nz/,0,0,60,0,0,false
National Emergency Management Agency,Vagahau Niue - Get Ready,https://nu.getready.govt.nz/,0,0,60,0,0,false
National Emergency Management Agency,عربي - Get Ready,https://ar.getready.govt.nz/,0,0,60,0,0,false
National Emergency Management Agency,हिन्दी - Get Ready,https://hi.getready.govt.nz/,0,0,300,0,0,false
National Emergency Management Agency,ਪੰਜਾਬੀ - Get Ready,https://pa.getready.govt.nz/,0,0,60,0,0,false
National Emergency Management Agency,日本語 - Get Ready,https://ja.getready.govt.nz/,0,0,60,0,0,false
National Emergency Management Agency,简体中文 - Get Ready,https://zh-hans.getready.govt.nz/,0,0,67,0,0,false
National Emergency Management Agency,繁體中文 - Get Ready,https://zh-hant.getready.govt.nz/,0,0,60,0,0,false
National Emergency Management Agency,National Emergency Management Agency,https://www.civildefence.govt.nz/,3,0,300,8,34,false
National Emergency Management Agency,takatū (CDEM LMS),https://takatu.civildefence.govt.nz/,100,0,2,2,4,false
Natural Hazards Commission,Natural Hazards Portal,https://www.naturalhazardsportal.govt.nz/,0,0,26,0,0,false
Natural Hazards Commission,NHC Toka Tū Ake,https://www.naturalhazards.govt.nz/,5,0,300,27,51,false
New Zealand Customs Service,Trade Single Window,https://www.tsw.govt.nz/external/application/login/app.html,0,0,1,0,0,false
New Zealand Customs Service,New Zealand Customs Service,https://www.customs.govt.nz/,52,-2,300,300,1538,false
New Zealand Customs Service,Careers at New Zealand Customs Service,https://careers.customs.govt.nz/home,100,0,33,33,110,false
New Zealand Defence Force,Force 4 Families,https://www.nzdf.mil.nz/force4families/,3,3,203,7,145,false
New Zealand Defence Force,Veterans' Affairs,https://www.veteransaffairs.mil.nz/,17,-3,300,69,280,false
New Zealand Defence Force,New Zealand Defence Force,https://www.nzdf.mil.nz/nzdf/,37,-63,110,68,249,false
New Zealand Defence Force,Defence Careers,https://www.defencecareers.mil.nz/,98,2,300,295,2715,false
New Zealand Defence Force,Air Force Museum of New Zealand,https://airforcemuseum.co.nz/,100,1,300,300,3264,false
New Zealand Defence Force,Defence Health Hub,https://health.nzdf.mil.nz/,100,0,300,300,3181,false
New Zealand Defence Force,National Army Museum,https://www.armymuseum.co.nz/,100,0,174,174,5784,false
New Zealand Defence Force,New Zealand Cadet Forces,https://cadetforces.org.nz/,100,0,19,19,152,false
New Zealand Defence Force,Torpedo Bay Navy Museum,https://navymuseum.co.nz/,100,0,300,300,8889,false
New Zealand Defence Force,New Zealand Cadet Forces Intranet,https://www.cadetnet.org.nz/,Not scanned,N/A,0,N/A,N/A,true
New Zealand Police,New Cops,https://www.newcops.govt.nz/,15,14,74,22,22,false
New Zealand Police,New Zealand Police,https://www.police.govt.nz/,88,21,4,4,9,false
New Zealand Security Intelligence Service,New Zealand Security Intelligence Service,https://www.nzsis.govt.nz/,0,0,187,0,0,false
New Zealand Security Intelligence Service,Protective Security Requirements,https://www.protectivesecurity.govt.nz/,0,0,65,0,0,false
New Zealand Security Intelligence Service,Reporting a national security concern,https://providinginformation.nzsis.govt.nz/,100,0,1,1,2,false
Oranga Tamariki,Children's Day,https://www.childrensday.org.nz/,0,0,4,0,0,false
Oranga Tamariki,High and Complex Needs,https://www.hcn.govt.nz/,0,0,6,0,0,false
Oranga Tamariki,Oranga Tamariki System Action Plan,https://www.orangatamarikiactionplan.govt.nz/,0,0,26,0,0,false
Oranga Tamariki,Strengthening Families,https://www.strengtheningfamilies.govt.nz/,0,-3,17,0,0,false
Oranga Tamariki,We need Youth Workers,https://youthwork.orangatamariki.govt.nz/,0,0,1,0,0,false
Oranga Tamariki,Careers at Oranga Tamariki,https://mahi.orangatamariki.govt.nz/home,1,-38,194,2,20,false
Oranga Tamariki,Practice Centre,https://practice.orangatamariki.govt.nz/,2,2,300,6,24,false
Oranga Tamariki,Oranga Tamariki,https://www.orangatamariki.govt.nz/,6,-2,300,19,168,false
Parliamentary Counsel Office,New Zealand Legislation,https://www.legislation.govt.nz/,0,-20,3,0,0,false
Parliamentary Counsel Office,NZ Legislation Disclosures,https://disclosure.legislation.govt.nz/,15,-3,300,46,110,false
Parliamentary Counsel Office,Parliamentary Counsel Office,https://www.pco.govt.nz/,55,26,300,176,3747,false
Parliamentary Counsel Office,The Legislation Design and Advisory Committee,https://www.ldac.org.nz/,Not scanned,N/A,0,N/A,N/A,true
Public Service Commission,Crown response to the Abuse in Care Inquiry,https://www.abuseinquiryresponse.govt.nz/,0,0,137,0,0,false
Public Service Commission,Govt.nz - New Zealand Government,https://www.govt.nz/,0,0,300,1,2,false
Public Service Commission,NZ Digital government,https://www.digital.govt.nz/,0,-1,300,1,2,false
Public Service Commission,State Redress New Zealand,https://www.redress.govt.nz/,0,0,10,0,0,false
Public Service Commission,Web Accessibility Guide,https://govtnz.github.io/web-a11y-guidance/,0,0,149,0,0,false
Public Service Commission,Public Service Commission,https://www.publicservice.govt.nz/,1,-1,300,5,13,false
Public Service Commission,Leadership Development Centre,https://www.ldc.govt.nz/,2,1,300,5,52,false
Public Service Commission,NZ Government Jobs,https://jobs.govt.nz/,4,-7,300,13,30,false
Public Service Commission,Data.govt.nz,https://data.govt.nz/,8,-6,300,24,141,false
Public Service Commission,Public Service Fale,https://www.publicservicefale.govt.nz/,11,11,28,3,6,false
Public Service Commission,DISTF-reference-architecture,https://github.com/nz-trust-framework/DISTF-reference-architecture,36,36,300,110,623,false
Public Service Commission,Marketplace,https://www.marketplace.govt.nz/,51,-47,108,106,162,false
Public Service Commission,Datasets - Data.govt.nz,https://catalogue.data.govt.nz/dataset,100,0,300,300,10185,false
Public Service Commission,Gazette,https://gazette.govt.nz/,100,0,300,300,5741,false
Public Service Commission,Government Women's Network,https://gwn.govt.nz/,100,1,300,299,1440,false
