# FormFair Held-Out Evaluation Protocol v1.0, section 1
# source_url=https://www.digital.govt.nz/standards-and-guidance/nz-government-web-standards/centralised-web-accessibility-checker-cwac/website-scores-cwac
# retrieved_utc=2026-08-11T05:18:19Z
# scan_date=2026-06-30
# page_sha256=ac6a0c4eb5c6087c0766218808c7714974fd68220d0b02ddaaf9dbb212f2a933
# agencies=45
# websites=504
agency,website,url,score,change,pages_scanned,views_with_issues,total_issues,not_scanned
Department of Internal Affairs,Charities Services,https://register.charities.govt.nz/CharitiesRegister/Search,100,0,1,1,30,false
Department of Internal Affairs,Charities Services,https://www.charities.govt.nz/,100,0,300,300,4080,false
Department of Internal Affairs,Collections search,https://collections.archives.govt.nz/,100,0,51,51,369,false
Department of Internal Affairs,Community Matters,https://www.communitymatters.govt.nz/,100,0,300,300,4932,false
Department of Internal Affairs,Death Documents,https://deathdocs.services.govt.nz/,100,0,9,9,130,false
Department of Internal Affairs,DIA services,https://dia.services.govt.nz/,100,0,6,6,68,false
Department of Internal Affairs,Early Learning Journeys,https://earlylearning.services.govt.nz/,100,0,42,42,600,false
Department of Internal Affairs,End of Life Service,https://endoflife.services.govt.nz/,100,0,10,10,282,false
Department of Internal Affairs,Gambling Aotearoa,https://www.gamblingaotearoa.govt.nz/,100,0,2,2,28,false
Department of Internal Affairs,New Zealand Gambling Commission,https://www.gamblingcommission.govt.nz/,100,0,83,83,1155,false
Department of Internal Affairs,NZ Web Archive,https://webarchive.natlib.govt.nz/,100,0,6,6,80,false
Department of Internal Affairs,Reportspam,https://www.reportspam.co.nz/,100,0,3,3,9,false
Department of Internal Affairs,Royal Commission of Inquiry into Building Failure Caused by the Canterbury Earthquakes,https://canterbury.royalcommission.govt.nz/,100,0,134,134,636,false
Department of Internal Affairs,Te Puna Foundation,https://natlib.govt.nz/support-us/te-puna-foundation/,100,0,7,7,28,false
Department of Internal Affairs,The Inter-Yeti - Lost on a Wild Webventure,https://theinteryeti.govt.nz/,100,0,1,1,4,false
Department of Internal Affairs,Whetūrangitia,https://wheturangitia.services.govt.nz/,100,0,48,48,922,false
Department of the Prime Minister and Cabinet,DPMC Consultation hub,https://consultation.dpmc.govt.nz/,1,0,38,1,1,false
Department of the Prime Minister and Cabinet,Department of the Prime Minister and Cabinet,https://www.dpmc.govt.nz/,74,2,300,300,2113,false
Department of the Prime Minister and Cabinet,Search Jobs - Department of the Prime Minister and Cabinet,https://careers.dpmc.govt.nz/search,100,100,6,6,42,false
Department of the Prime Minister and Cabinet,The Governor-General of New Zealand,https://gg.govt.nz/,100,0,300,300,2079,false
Education Review Office,Education Review Office,https://www.ero.govt.nz/,2,-2,300,7,14,false
Education Review Office,Evidence and Insights,https://www.evidence.ero.govt.nz/,6,-37,300,19,776,false
Family Violence and Sexual Violence Executive Board,Centre for Family Violence and Sexual Violence Prevention,https://preventfvsv.govt.nz/,0,0,54,0,0,false
Financial Markets Authority,Financial Markets Authority,https://www.fma.govt.nz/,25,5,300,82,1501,false
Financial Markets Authority,FinTech Forum,https://fintech.govt.nz,94,0,8,8,25,false
Financial Markets Authority,Financial Advice Code,https://financialadvicecode.govt.nz,100,0,13,13,131,false
Financial Markets Authority,Financial Advisers Disciplinary Committee,https://fadc.govt.nz/,100,0,16,16,135,false
Government Communications Security Bureau,Beyond Ordinary Careers,https://beyondordinary.nzic.govt.nz/,0,0,27,0,0,false
Government Communications Security Bureau,Government Communications Security Bureau,https://www.gcsb.govt.nz/,0,0,186,0,0,false
Government Communications Security Bureau,New Zealand Information Security Manual,https://nzism.gcsb.govt.nz/,0,0,35,0,0,false
Government Communications Security Bureau,New Zealand Intelligence Community,https://www.nzic.govt.nz/,0,0,3,0,0,false
Government Communications Security Bureau,Own Your Online,https://www.ownyouronline.govt.nz/,1,-1,199,2,5,false
Government Communications Security Bureau,National Cyber Security Centre,https://www.ncsc.govt.nz/,5,-53,300,16,52,false
Health New Zealand,My Health Record,https://my.health.nz/,0,0,5,0,0,false
Health New Zealand,Safer Gambling Aotearoa,https://www.safergambling.org.nz/,8,0,26,2,10,false
Health New Zealand,Health Information and Services,https://www.healthnz.govt.nz/,9,-4,300,27,1043,false
Health New Zealand,Smokefree,https://www.smokefree.org.nz/,16,0,97,17,91,false
Health New Zealand,Nōku te Ao,https://www.nokuteao.org.nz/,24,0,59,14,48,false
Health New Zealand,Depression and Anxiety,https://www.depression.org.nz,31,0,51,16,60,false
Health New Zealand,Alcohol Resources,https://resources.alcohol.org.nz/,52,52,114,114,132,false
Health New Zealand,Amohia te Waiora,https://www.alcohol.org.nz/,52,52,98,98,108,false
Health New Zealand,Search jobs at Health New Zealand,https://jobs.tewhatuora.govt.nz/jobtools/JnCustomLogin.Login?in_organid=19739,78,7,18,18,72,false
Health New Zealand,Health New Zealand resource store,https://order.healthpromotion.govt.nz/,100,0,300,300,4236,false
Health New Zealand,HealthEd,https://healthed.govt.nz/,100,0,300,300,1214,false
Health New Zealand,Small Steps,https://www.smallsteps.org.nz/,100,0,29,29,446,false
Inland Revenue Department,Tax Policy,https://www.taxpolicy.ird.govt.nz/,3,-17,236,11,18,false
Inland Revenue Department,Tax Technical,https://www.taxtechnical.ird.govt.nz/,4,1,126,5,12,false
Inland Revenue Department,Inland Revenue,https://www.ird.govt.nz/,5,1,300,17,41,false
Land Information New Zealand,Careers at LINZ,https://careers.linz.govt.nz/,0,-58,16,0,0,false
Land Information New Zealand,NZGB Gazetteer,https://gazetteer.linz.govt.nz/,0,0,1,0,0,false
Land Information New Zealand,Overseas Investment Office,https://oio.linz.govt.nz/,0,0,15,0,0,false
Land Information New Zealand,Land Information New Zealand,https://www.linz.govt.nz/,1,-15,300,2,5,false
Land Information New Zealand,New Zealand ENC Service,https://encservice.linz.govt.nz/,11,0,9,1,4,false
Land Information New Zealand,LINZ Charts,https://charts.linz.govt.nz/,46,-48,300,145,532,false
Land Information New Zealand,Basemaps,https://basemaps.linz.govt.nz/,100,0,1,1,2,false
Land Information New Zealand,Land Record Search,https://lrs.linz.govt.nz/search/,100,0,1,1,6,false
Land Information New Zealand,LINZ Data Service,https://data.linz.govt.nz/,100,0,300,300,3995,false
"Ministry for Cities, Environment, Regions and Transport",Have your say,https://consult.environment.govt.nz/,0,-1,300,1,1,false
"Ministry for Cities, Environment, Regions and Transport",Transport Knowledge Hub,https://www.knowledgehub.transport.govt.nz/,0,0,7,0,0,false
"Ministry for Cities, Environment, Regions and Transport",Ministry of Housing and Urban Development,https://www.hud.govt.nz/,4,1,300,24,113,false
"Ministry for Cities, Environment, Regions and Transport",Ministry for the Environment,https://environment.govt.nz/,9,-2,300,31,68,false
"Ministry for Cities, Environment, Regions and Transport",Open Data,https://open-data-mfe.hub.arcgis.com,50,0,1,1,1,false
"Ministry for Cities, Environment, Regions and Transport",Ministry of Transport,https://www.transport.govt.nz/,54,-2,264,145,1373,false
"Ministry for Cities, Environment, Regions and Transport",Online Waste Reporting System,https://wastelevy.govt.nz/,67,0,6,4,9,false
"Ministry for Cities, Environment, Regions and Transport",Community Housing Regulatory Authority,https://www.chra.hud.govt.nz/,76,0,40,31,65,false
"Ministry for Cities, Environment, Regions and Transport",Quality Planning,https://www.qualityplanning.org.nz/,82,-10,300,300,1016,false
"Ministry for Cities, Environment, Regions and Transport",Fiordland Marine Guardians,https://www.fmg.org.nz/,98,0,77,77,1697,false
"Ministry for Cities, Environment, Regions and Transport",NZSAR,https://www.nzsar.govt.nz/,98,-2,289,284,1364,false
"Ministry for Cities, Environment, Regions and Transport",ArcGIS Online,https://mfe.maps.arcgis.com/home/index.html,100,0,1,1,2,false
"Ministry for Cities, Environment, Regions and Transport",Enquire Login,https://fms-cp.mfe-enquire.cloud/user/realme.html,100,0,1,1,6,false
